Machine,tau_k,e,hm,ha,Lz,lq,F_active,THD,mass,time
88,0.024966892379481163,0.007847802573408327,0.009979208852761984,0.004362689701174174,0.049999316303242086,0.003910578277310406,45.767761138375164,0.030805466263804388,0.25243394926122364,0.06642614364244756
89,0.024995446035632578,0.007847987924687003,0.009994276525476574,0.004486254368679829,0.04999785058598982,0.003911098998076398,46.99387314008188,0.030863639067391667,0.2550719604115098,0.06589549632385276
90,0.024962983599101787,0.007847189054621489,0.009991861018273089,0.004465368272392473,0.0499973454109133,0.0038988376039731445,46.61769698647422,0.03085114706367077,0.25420542573958244,0.06604835325974251
91,0.024966892379481163,0.007847802573408327,0.009999590375515595,0.004170369346867156,0.04999970472323174,0.003899490960870711,43.769395359521276,0.030725538541440296,0.24805666659720838,0.06733411735177361
92,0.024965227041060228,0.00785094507015484,0.009993613052797213,0.0049605255229870715,0.04999515486236759,0.003919410773729426,51.53657757435538,0.031138914918795783,0.2652850811065923,0.06417171111354955
93,0.02489829068964994,0.007842711314814604,0.009999613899436495,0.004319632901836006,0.04999374912114793,0.0038977320144562727,45.15077523852617,0.030779520515833853,0.25105106131399446,0.06669502175758231
94,0.02492332613569512,0.00785097591225048,0.009993558545808731,0.004187271753042093,0.04999360588597697,0.003898782915585777,43.87823418143762,0.030727417260507806,0.24833400147382229,0.0672881388135289
95,0.02496495176140734,0.007842711314814604,0.009999438453889231,0.004319632901836006,0.049951233301167235,0.0038977320144562727,45.170109916489395,0.03078503699175562,0.2510501736494198,0.06668062822912653
96,0.02488147590842983,0.007842648634995151,0.0099991086125195,0.0042373461119640556,0.04999285376064385,0.0038994548046862357,44.355810155298734,0.030744650103456398,0.24936387714507136,0.06706354496091578
97,0.024993215240856875,0.007847843219543136,0.009993656841856706,0.004914320593087264,0.04999877955658998,0.00391078399860023,51.0331748438486,0.031109649441647964,0.2640507074411808,0.06433723131654519
98,0.024966581422553476,0.007850924434791656,0.009993656841856706,0.004956755274945162,0.049999431141893876,0.0039023510242484375,51.28324780993395,0.03113639013353668,0.2646208570038793,0.06424942843175707
99,0.024967607866106054,0.007847720719787931,0.009997694153824597,0.0046593498267854475,0.04990446355285345,0.0039025072291415277,48.42315958239051,0.030952831530532764,0.25823089357461776,0.06531644373175648
100,0.02499763050632565,0.007842236154996707,0.009996539356515332,0.004105463582358503,0.0499959273781898,0.003910728716662081,43.28561613965278,0.03071192942597008,0.24706570986789028,0.06757396906318101
